name,description,price,category
Phở bò tái,"Phở bò truyền thống với nước dùng ninh xương 12 tiếng, bánh phở mềm, thịt bò tái mềm ngọt. Ăn kèm rau thơm, chanh, ớt.",45000,Món nước
Bún chả Hà Nội,"Bún chả thịt nướng than hoa thơm lừng, chả viên đậm vị, nước chấm chua ngọt cân bằng. Kèm rau sống tươi.",40000,Món nước
Cơm tấm sườn bì chả,"Cơm tấm sườn nướng mật ong, bì heo giòn, chả trứng béo ngậy, ăn kèm đồ chua và nước mắm pha.",50000,Cơm
Bánh mì thịt nướng,"Bánh mì giòn rụm kẹp thịt nướng ướp sả, pate, rau thơm và đồ chua. Ngon chuẩn vị vỉa hè.",25000,Đồ ăn nhanh
Gỏi cuốn tôm thịt,"Gỏi cuốn tươi mát với tôm luộc, thịt ba chỉ, bún, rau sống cuốn bánh tráng. Chấm tương đậu phộng.",35000,Món khai vị
Bún bò Huế,"Bún bò Huế cay nồng đặc trưng, nước dùng đậm đà sả và mắm ruốc, kèm giò heo, chả cua.",48000,Món nước
Chả giò chiên giòn,"Chả giò nhân thịt heo, tôm, miến, cà rốt gói bánh tráng chiên vàng giòn. Ăn kèm rau và nước chấm.",30000,Món khai vị
Trà đào cam sả,"Trà đào thơm mát pha cam tươi và sả, thêm miếng đào giòn ngọt. Giải nhiệt ngày nắng.",30000,Đồ uống
Cà phê sữa đá,"Cà phê phin rang xay đậm đặc pha sữa đặc, thêm đá mát lạnh. Đậm vị cà phê Việt.",25000,Đồ uống
Chè khúc bạch,"Chè khúc bạch mềm mịn vị hạnh nhân, thêm nhãn, hạt sen và nước đường thanh mát.",28000,Tráng miệng
Bánh flan caramel,"Bánh flan mềm mịn, béo ngậy vị trứng sữa phủ lớp caramel đắng nhẹ thơm lừng.",20000,Tráng miệng
Combo cơm gà xối mỡ,"Cơm gà xối mỡ da giòn thịt mềm, kèm canh, đồ chua và nước sốt đặc biệt. No nê cho bữa trưa.",55000,Combo
